"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"84","@ScottAdamsSays He also broke ""the Resistance."" They had great unity and momentum at times during the first half of… https://t.co/D7M0nU75dL",FALSE,0,"ScottAdamsSays",2017-12-29 06:55:01,TRUE,"946400840469815297","946635650794635264","2853461537","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhantasmKirk",0,FALSE,FALSE,NA,NA
"85","@TheGoodGodAbove What no #metoo ?",FALSE,0,"TheGoodGodAbove",2017-12-29 06:54:59,FALSE,"946417822737010688","946635640787042304","368196789","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","douglaswthistle",0,FALSE,FALSE,NA,NA
"86","@herodote1789 @LeJaponDeMiki The charges against the media manager was dropped just before he were to be arrested.… https://t.co/WNU5ALXxT5",FALSE,0,"herodote1789",2017-12-29 06:54:19,TRUE,"946137974428917761","946635473254051840","3720042855","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ulrikacsr",0,FALSE,FALSE,NA,NA
"87","RT @creatu2: #metoo ""I’m not giving up my voice.”Women have the right to body
   @TIME  @nytimes   @realDonaldTrump     @FTChinese https://…",FALSE,0,NA,2017-12-29 06:52:46,FALSE,NA,"946635084563587072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aabbccdqwer",3,TRUE,FALSE,NA,NA
"88","RT @WILPublication: Download a free copy now! From #MeToo&amp; trailblazing women; to @phumzileunwomen on Leave No One Behind; and #ShamiChakra…",FALSE,0,NA,2017-12-29 06:52:06,FALSE,NA,"946634915550040065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haydenhitch",1091,TRUE,FALSE,NA,NA
"89","Is this your kind of guy democrats??? #metoo.  Philly Judge Who Resigned over Sex Scandal and Was Jailed for Lying… https://t.co/8w0LyGqoVV",FALSE,0,NA,2017-12-29 06:52:05,TRUE,NA,"946634913012502528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmGirlPatriot",0,FALSE,FALSE,NA,NA
"90","RT @gerelleyyy: While at the same time this beautiful BoNa flirting was happening<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Bomi really likes Naeun’s body<ed><U+00A0><U+00BD><ed><U+00B1><U+0080>
#metoo https://t.co/IURw…",FALSE,0,NA,2017-12-29 06:51:35,FALSE,NA,"946634785555824641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","myung9232",20,TRUE,FALSE,NA,NA
"91","RT @WILPublication: Download a free copy now! From #MeToo&amp; trailblazing women; to @phumzileunwomen on Leave No One Behind; and #ShamiChakra…",FALSE,0,NA,2017-12-29 06:51:18,FALSE,NA,"946634714827202562",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bandapabanda",1091,TRUE,FALSE,NA,NA
"92","RT @JoeBraxtonTouch: Tips to survive &amp; heal. Continue Still Breathing. https://t.co/5mv3rKPJHg via @YouTube #MeToo #MenToo #mentalhealth #S…",FALSE,0,NA,2017-12-29 06:51:16,FALSE,NA,"946634705994174464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SBBookJBraxton",1,TRUE,FALSE,NA,NA
"93","RT @therealroseanne: have you been threatened by fans of HRC? Tell us about it-#MeToo",FALSE,0,NA,2017-12-29 06:49:29,FALSE,NA,"946634258575122434",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","warriordaisy",422,TRUE,FALSE,NA,NA
"94","also i feel like i’m ready to move on.
i wrote this a few weeks ago when I started getting a bit more courage heari… https://t.co/tPFJnXCant",FALSE,0,NA,2017-12-29 06:49:02,TRUE,NA,"946634145861480449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OdeToLizz",0,FALSE,FALSE,NA,NA
"95","One of the things that interested me about this tweet was that everyone who had something negative to say was male.… https://t.co/Z2yYFUQ7MY",FALSE,0,NA,2017-12-29 06:48:59,TRUE,NA,"946634131106037765",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WendyCrouse4",0,FALSE,FALSE,NA,NA
"96","RT @BradSmi: As we head into 2018, there are opportunities for all of us to learn from the #MeToo movement &amp; turn that learning into action…",FALSE,0,NA,2017-12-29 06:48:25,FALSE,NA,"946633990105993216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taterpie",127,TRUE,FALSE,NA,NA
